Comment,Designator,Footprint,LCSC Part #
1N41480805,D1 D2 D3 D4,D0805-J,C2128
1k,4,R0805,C17513
1k5,19,R0805,C4310
2n3904,T1,SOT23-BEC,C20526
5pF,C7,C0805,C1794
10k,1 6 7 25 26 27 28,R0805,C17414
10pF,C1 C2,C0805,C1785
15k,20,R0805,C17475
20k,5 8 29 30 55,R0805,C4328
22k,22,R0805,C17560
27k,10 11 35 36 37 48 49 50,R0805,C17593
47k,38 39 40 41 44 45 46 47,R0805,C17713
50k,15,R0805,C63865
68k,3,R0805,C17801
82k,2,R0805,C17840
100k,12 13 14 23 24 56,R0805,C17407
100nF,C5 C6 C8,C0805,C49678
100nF,C10 C11 C16,C0603,C14663
150k,16 18,R0805,C17470
200k,17,R0805,C17539
4013D,IC5,SO14J,C347580
?pF,C3 C4,C0805,
TL072D,IC4,SO08J,C6961
TL074D,IC1 IC2 IC3,SO14,C6963